id,complaint_id,raw_text,address,ward_name,ward_id,zone,category,urgency_score,status,officer_id,department,filed_date,resolved_date,resolution_days,is_fake_resolution,is_affluent_ward,source,predicted_category,confidence,ai_urgency_score
1,SYNF8B3F1,Stormwater drain on Sarjapur Road has no cover. Open drain is dangerous especially for children and two wheeler riders. Covered only 2 years ago but cover missing again.,"46, Sarjapur Road, Kadubeesanahalli, Bengaluru",Kadubeesanahalli,87,East,Road,90,open,,Engineering,2026-03-03 12:55:24,,,False,False,synthetic,Drainage,0.5506771802902222,65
2,SYNB4D108,Rajakaluve encroachment near vegetable market blocking natural drainage. Flooding in residential area every year. BBMP not taking action against encroachers.,"271, 3rd Block Main Road, Marathahalli, Bengaluru",Marathahalli,85,East,Drainage,98,open,,Engineering,2025-12-07 12:55:24,,,False,False,synthetic,Drainage,0.3374069631099701,65
3,SYN8D6EE1,Road divider near church broken and lying on road. Sharp concrete pieces causing tyre punctures to passing vehicles. BBMP not responding to complaints.,"216, Bellary Road, Rajajinagar, Bengaluru",Rajajinagar,67,West,Road,49,open,,Engineering,2026-02-21 12:55:24,,,False,False,synthetic,Road & Potholes,0.6885561943054199,30
4,SYN217CA7,Large pothole on Mysore Road near bus stop causing accidents and vehicle damage for past 46 days. Three two-wheelers have already fallen. No action from BBMP despite multiple complaints.,"267, Mysore Road, Rajarajeswari Nagar, Bengaluru",Rajarajeswari Nagar,155,West,Road,73,resolved,OFF884,Engineering,2025-11-24 12:55:24,2025-12-18 12:55:24,24.0,False,False,synthetic,Road & Potholes,0.8007317185401917,65
5,SYN569D9B,Unauthorized event hall near Indiranagar conducting events with loud music on weeknights. No permission from BBMP. Residents unable to sleep.,"127, 1st Main Road, Indiranagar, Bengaluru",Indiranagar,80,East,Noise,13,resolved,OFF772,Health,2025-12-28 12:55:24,2026-01-04 12:55:24,7.0,False,True,synthetic,Other,0.4490865468978882,30
6,SYNAD2C83,Unauthorized event hall near Malleswaram conducting events with loud music on weeknights. No permission from BBMP. Residents unable to sleep.,"37, Hosur Road, Malleswaram, Bengaluru",Malleswaram,44,West,Noise,37,resolved,OFF494,Health,2026-01-12 12:55:24,2026-01-17 12:55:24,5.0,False,True,synthetic,Other,0.4524613618850708,30
7,SYN27E12C,Construction work on Tumkur Road blocked the drainage channel. Water now entering our housing society during rains. Builder not restoring drainage despite notices.,"250, Tumkur Road, Jayanagar, Bengaluru",Jayanagar,172,South,Drainage,43,resolved,OFF107,Engineering,2026-01-06 12:55:24,2026-01-15 12:55:24,9.0,False,True,synthetic,Road & Potholes,0.30058881640434265,65
8,SYN08E10C,Open garbage dumping happening near Brigade Road by outsiders. BBMP has not put up any fencing or signboard. Area turning into permanent garbage dump.,"14, Brigade Road, Nagawara, Bengaluru",Nagawara,24,North,Sanitation,13,resolved,OFF853,SWM,2026-02-23 12:55:24,2026-03-20 12:55:24,25.0,True,False,synthetic,Other,0.40421873331069946,30
9,SYN70141E,Construction work near Marathahalli happening at night beyond 10 PM for past 43 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"48, Bellary Road, Marathahalli, Bengaluru",Marathahalli,85,East,Noise,27,open,,Health,2026-01-01 12:55:24,,,False,False,synthetic,Other,0.5358723402023315,30
10,SYNAD690D,Drainage blocked near Banashankari. Water stagnation on road and footpath for past 15 days after each rain. Mosquito breeding risk. Residents using alternate routes.,"19, Tumkur Road, Banashankari, Bengaluru",Banashankari,165,South,Drainage,61,resolved,OFF468,Engineering,2026-03-08 12:55:24,2026-05-04 12:55:24,57.0,False,False,synthetic,Drainage,0.8145634531974792,65
